route_id,direction_id,route_path_id,path_sequence,stop_lat,stop_lon,stop_id,stop_name,agency,route_short_name,route_long_name,route_type,route_color,route_text_color,peak_15min_weekday,day_15min_weekday,night_60min_weekday,allday_60min_weekend,census_tract_geoid,census_tract_name,county_fips,tract_code,route_score
100,1,100_1,2,47.0482368469,-122.831253,524,Martin Way Station [wb],Intercity Transit,ONE,The One,3,F6AF65,0A1045,NO,NO,NO,NO,53067012224,122.24,067,012224,Poor
100,1,100_1,3,47.0472984314,-122.845215,528,Martin Way at Lilly Rd [wb],Intercity Transit,ONE,The One,3,F6AF65,0A1045,NO,NO,NO,NO,53067012223,122.23,067,012223,Poor
100,1,100_1,4,47.04636,-122.859829,441,Martin Way at Pattison St [wb],Intercity Transit,ONE,The One,3,F6AF65,0A1045,NO,NO,NO,NO,53067010300,103,067,010300,Poor
100,1,100_1,5,47.046962738,-122.876755,532,State Ave at Turner St [wb],Intercity Transit,ONE,The One,3,F6AF65,0A1045,NO,NO,NO,NO,53067010300,103,067,010300,Poor
100,1,100_1,6,47.0466384888,-122.889458,164,State Ave at Eastside St [wb],Intercity Transit,ONE,The One,3,F6AF65,0A1045,NO,NO,NO,NO,53067010300,103,067,010300,Poor
100,1,100_1,7,47.0462989807,-122.900032,167,Olympia Transit Center,Intercity Transit,ONE,The One,3,F6AF65,0A1045,NO,NO,NO,NO,53067010100,101,067,010100,Poor
100,1,100_1,8,47.0445632935,-122.907219,796,4th Ave at Simmons St [wb],Intercity Transit,ONE,The One,3,F6AF65,0A1045,NO,NO,NO,NO,53067010100,101,067,010100,Poor
100,1,100_1,9,47.0460090637,-122.920486,271,Harrison Ave at Perry St [wb],Intercity Transit,ONE,The One,3,F6AF65,0A1045,NO,NO,NO,NO,53067010600,106,067,010600,Poor
100,1,100_1,10,47.046131134,-122.926704,411,Harrison Ave at Division St [wb],Intercity Transit,ONE,The One,3,F6AF65,0A1045,NO,NO,NO,NO,53067010600,106,067,010600,Poor
100,1,100_1,11,47.0422782898,-122.932533,323,Capital Mall Station,Intercity Transit,ONE,The One,3,F6AF65,0A1045,NO,NO,NO,NO,53067010510,105.10,067,010510,Poor
12,0,12_0,1,47.0462989807,-122.900032,167,Olympia Transit Center,Intercity Transit,12,West Tumwater,3,5A8400,ffffff,NO,NO,NO,NO,53067010100,101,067,010100,Poor
12,0,12_0,2,47.0459136963,-122.90316,869,Columbia St at State Ave [sb],Intercity Transit,12,West Tumwater,3,5A8400,ffffff,NO,NO,NO,NO,53067010100,101,067,010100,Poor
12,0,12_0,3,47.0438079834,-122.905922,267,5th Ave at Sylvester St [wb],Intercity Transit,12,West Tumwater,3,5A8400,ffffff,NO,NO,NO,NO,53067010100,101,067,010100,Poor
12,0,12_0,4,47.0436515808,-122.908066,268,5th Ave at Deschutes Pkwy [wb],Intercity Transit,12,West Tumwater,3,5A8400,ffffff,NO,NO,NO,NO,53067010100,101,067,010100,Poor
12,0,12_0,5,47.0431976318,-122.910957,801,Deschutes Pkwy at 5th Ave [sb],Intercity Transit,12,West Tumwater,3,5A8400,ffffff,NO,NO,NO,NO,53067010520,105.20,067,010520,Poor
12,0,12_0,6,47.0408325195,-122.914383,320,Capitol Lake [sb],Intercity Transit,12,West Tumwater,3,5A8400,ffffff,NO,NO,NO,NO,53067010520,105.20,067,010520,Poor
12,0,12_0,7,47.0373077393,-122.913193,319,Marathon Park [sb],Intercity Transit,12,West Tumwater,3,5A8400,ffffff,NO,NO,NO,NO,53067010520,105.20,067,010520,Poor
12,0,12_0,8,47.034538269,-122.911545,318,Percival Cove [sb],Intercity Transit,12,West Tumwater,3,5A8400,ffffff,NO,NO,NO,NO,53067010520,105.20,067,010520,Poor
12,0,12_0,9,47.0325393677,-122.910522,321,Deschutes Pkwy at Lakeridge Dr [sb],Intercity Transit,12,West Tumwater,3,5A8400,ffffff,NO,NO,NO,NO,53067010520,105.20,067,010520,Poor
12,0,12_0,10,47.0283203125,-122.913414,322,County Courthouse [sb],Intercity Transit,12,West Tumwater,3,5A8400,ffffff,NO,NO,NO,NO,53067010520,105.20,067,010520,Poor
12,0,12_0,11,47.0279998779,-122.914902,338,S. Evergreen Park Dr at 24th Way [nb],Intercity Transit,12,West Tumwater,3,5A8400,ffffff,NO,NO,NO,NO,53067010520,105.20,067,010520,Poor
12,0,12_0,12,47.0300827026,-122.915237,339,Regency Apts [wb],Intercity Transit,12,West Tumwater,3,5A8400,ffffff,NO,NO,NO,NO,53067010520,105.20,067,010520,Poor
12,0,12_0,13,47.0308532715,-122.916817,340,Heritage Park Apts [wb],Intercity Transit,12,West Tumwater,3,5A8400,ffffff,NO,NO,NO,NO,53067010520,105.20,067,010520,Poor
12,0,12_0,14,47.0307273865,-122.919006,341,Broadmoor West [wb],Intercity Transit,12,West Tumwater,3,5A8400,ffffff,NO,NO,NO,NO,53067010520,105.20,067,010520,Poor
12,0,12_0,15,47.0296325684,-122.920708,791,Evergreen Park [wb],Intercity Transit,12,West Tumwater,3,5A8400,ffffff,NO,NO,NO,NO,53067010520,105.20,067,010520,Poor
12,0,12_0,16,47.028427124,-122.922684,342,Evergreen Park Dr at S. Evergreen Park D,Intercity Transit,12,West Tumwater,3,5A8400,ffffff,NO,NO,NO,NO,53067010520,105.20,067,010520,Poor
12,0,12_0,17,47.0272865295,-122.92392,1022,Cooper Point Dr at Evergreen Park Dr [sb,Intercity Transit,12,West Tumwater,3,5A8400,ffffff,NO,NO,NO,NO,53067010520,105.20,067,010520,Poor
12,0,12_0,19,47.0232200623,-122.929276,88,South Puget Sound Community College,Intercity Transit,12,West Tumwater,3,5A8400,ffffff,NO,NO,NO,NO,53067010910,109.10,067,010910,Poor
12,1,12_1,34,47.0232200623,-122.929276,88,South Puget Sound Community College,Intercity Transit,12,West Tumwater,3,5A8400,ffffff,NO,NO,NO,NO,53067010910,109.10,067,010910,Poor
12,1,12_1,36,47.0283851624,-122.92231,334,Evergreen Park Dr at S Evergreen Park Dr,Intercity Transit,12,West Tumwater,3,5A8400,ffffff,NO,NO,NO,NO,53067010520,105.20,067,010520,Poor
12,1,12_1,37,47.0292015076,-122.920914,792,Evergreen Park [eb],Intercity Transit,12,West Tumwater,3,5A8400,ffffff,NO,NO,NO,NO,53067010520,105.20,067,010520,Poor
12,1,12_1,38,47.0304298401,-122.919243,335,Sherwood Glen Apts [eb],Intercity Transit,12,West Tumwater,3,5A8400,ffffff,NO,NO,NO,NO,53067010520,105.20,067,010520,Poor
12,1,12_1,39,47.0307769775,-122.917374,336,Heritage Park Apts [eb],Intercity Transit,12,West Tumwater,3,5A8400,ffffff,NO,NO,NO,NO,53067010520,105.20,067,010520,Poor
12,1,12_1,40,47.0298423767,-122.915283,337,Westlake Apts [eb],Intercity Transit,12,West Tumwater,3,5A8400,ffffff,NO,NO,NO,NO,53067010520,105.20,067,010520,Poor
12,1,12_1,41,47.0293960571,-122.913193,300,County Courthouse [nb],Intercity Transit,12,West Tumwater,3,5A8400,ffffff,NO,NO,NO,NO,53067010520,105.20,067,010520,Poor
12,1,12_1,42,47.0325813293,-122.910362,301,Deschutes Pkwy at Lakeridge Dr [nb],Intercity Transit,12,West Tumwater,3,5A8400,ffffff,NO,NO,NO,NO,53067010520,105.20,067,010520,Poor
12,1,12_1,43,47.0346565247,-122.91143,304,Percival Cove [nb],Intercity Transit,12,West Tumwater,3,5A8400,ffffff,NO,NO,NO,NO,53067010520,105.20,067,010520,Poor
12,1,12_1,44,47.037399292,-122.913101,303,Marathon Park [nb],Intercity Transit,12,West Tumwater,3,5A8400,ffffff,NO,NO,NO,NO,53067010520,105.20,067,010520,Poor
12,1,12_1,45,47.0408287048,-122.914253,302,Capitol Lake [nb],Intercity Transit,12,West Tumwater,3,5A8400,ffffff,NO,NO,NO,NO,53067010520,105.20,067,010520,Poor
